,time,id,class,region1x,region1y,region2x,region2y
0,3,1,car,892,579,1023,682
1,3,3,truck,471,485,775,752
2,4,1,car,894,581,1018,679
3,4,3,truck,506,488,794,742
4,5,1,car,900,580,1019,673
5,5,3,truck,538,492,805,729
6,5,4,bus,544,498,791,724
7,6,1,car,906,590,1007,669
8,6,3,truck,563,496,809,715
9,6,4,bus,565,497,801,715
10,7,1,car,906,589,1005,665
11,7,3,truck,590,499,820,704
12,7,4,bus,594,504,809,702
13,8,1,car,910,581,1009,657
14,8,3,truck,612,506,824,696
15,8,4,bus,615,507,819,696
16,9,1,car,907,577,1008,654
17,9,3,truck,638,510,834,686
18,9,4,bus,636,508,826,685
19,10,1,car,907,571,1011,651
20,10,4,bus,655,508,834,677
21,11,1,car,910,571,1011,647
22,11,4,bus,669,509,841,672
23,12,1,car,907,570,1008,646
24,12,3,truck,682,505,855,663
25,12,4,bus,687,510,847,663
26,13,1,car,913,570,1007,641
27,13,3,truck,703,507,864,654
28,13,4,bus,699,511,852,658
29,14,1,car,915,570,1006,638
30,14,4,bus,709,511,857,656
31,15,1,car,914,570,1003,637
32,15,4,bus,720,512,862,652
33,16,1,car,916,567,1003,632
34,16,4,bus,733,513,864,644
35,17,1,car,914,566,999,630
36,17,4,bus,741,511,865,635
37,18,1,car,915,566,998,628
38,18,4,bus,755,511,870,628
39,19,1,car,916,567,997,627
40,19,4,bus,752,515,866,631
41,20,1,car,917,567,995,626
42,20,4,bus,763,516,871,626
43,21,1,car,918,568,993,623
44,22,1,car,920,567,992,621
45,22,3,truck,766,522,870,620
46,22,4,bus,771,520,869,622
47,23,1,car,921,567,990,618
48,23,3,truck,776,524,873,615
49,23,4,bus,776,520,871,621
50,24,1,car,922,567,991,617
51,24,4,bus,781,521,874,621
52,25,1,car,922,566,990,615
53,25,3,truck,783,520,882,618
54,25,4,bus,787,522,876,619
55,26,1,car,922,566,990,614
56,26,3,truck,790,521,885,616
57,26,4,bus,793,523,878,616
58,27,1,car,923,565,990,612
59,27,3,truck,797,522,887,614
60,27,4,bus,799,522,882,614
61,28,1,car,923,563,989,610
62,28,3,truck,801,522,887,611
63,28,4,bus,803,523,884,611
64,29,1,car,924,562,988,608
65,29,3,truck,806,525,887,610
66,29,4,bus,808,525,885,610
67,30,1,car,923,562,988,608
68,30,3,truck,813,526,890,607
69,30,4,bus,812,526,884,607
70,31,1,car,924,561,989,606
71,31,4,bus,817,525,888,604
72,32,1,car,923,560,989,606
73,32,4,bus,823,526,891,602
74,33,1,car,924,561,989,606
75,34,1,car,929,562,991,605
76,34,4,bus,828,528,893,601
77,35,1,car,931,562,991,604
78,35,4,bus,833,529,896,599
79,36,1,car,931,560,993,603
80,36,3,truck,833,527,901,600
81,36,4,bus,835,527,899,599
82,37,1,car,933,558,993,600
83,37,3,truck,837,527,904,598
84,37,4,bus,839,528,901,598
85,38,1,car,935,559,993,599
86,38,3,truck,839,527,904,597
87,38,4,bus,841,527,903,597
88,39,1,car,934,558,992,598
89,39,3,truck,844,527,906,596
90,39,4,bus,843,527,904,598
91,40,1,car,936,560,990,597
92,40,4,bus,847,527,907,596
93,41,1,car,934,558,990,596
94,42,1,car,934,558,989,595
95,43,1,car,934,557,989,594
96,44,1,car,933,556,988,594
97,45,1,car,933,558,985,593
98,46,1,car,933,558,984,592
99,47,1,car,934,560,982,592
100,48,1,car,932,559,981,591
101,49,1,car,932,559,981,591
102,50,1,car,931,558,980,591
103,51,1,car,932,557,980,590
104,52,1,car,930,555,979,590
105,53,1,car,930,555,979,589
106,54,1,car,930,555,978,589
107,56,1,car,930,554,976,587
108,57,1,car,931,555,976,587
109,58,1,car,931,555,975,587
